,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7687074829931972,0.3888888888888889,0.7291666666666666,0.5072463768115942,0.8318089430894309
XGBoost,0.8503401360544217,0.6,0.25,0.35294117647058826,0.7881944444444444
Random Forest,0.8571428571428571,0.875,0.14583333333333334,0.25,0.7826050135501356
